subj_ID,exp_ID,session,daySession,context,trainingLevel,sniffTime,correctPort,response,latency,poke1Number,poke2Number,poke3Number,cumulative1,cumulative2,cumulative3,firstResponse,timestamp,port1Odor,port2Odor,port3Odor,temp,humidity,pressure,pokeOrder,pokeTimes
Bruce,Mallory,1,1,Training,Training1,4000,port3,port3,3.830561876,3,1,1,8379,70,4001,port1,10_08_20_11_21_14,MO,Blank,SP,25.17,43.73,90.85333333,"['port2', 'port1', 'port1', 'port1', 'port3']","[70, 4001, 4001, 377, 4001]"
Bruce,Mallory,1,1,Training,Training1,4000,port2,port2,11.22600746,0,2,1,0,4359,210,port2,10_08_20_11_21_52,Cotton,SP,Limonene,25.17,43.73,90.85333333,"['port2', 'port3', 'port2']","[358, 210, 4001]"
Bruce,Mallory,1,1,Training,Training1,4000,port1,port1,7.730050325,1,1,0,4001,494,0,port1,10_08_20_11_22_27,SP,Cotton,Limonene,25.17,43.73,90.85333333,"['port2', 'port1']","[494, 4001]"
Bruce,Mallory,1,1,Training,Training1,4000,port2,port2,4.717118263,0,2,0,0,4260,0,port2,10_08_20_11_22_58,MO,SP,Gloves,25.17,43.73,90.85333333,"['port2', 'port2']","[259, 4001]"
Bruce,Mallory,1,1,Training,Training1,4000,port1,port1,2.876749516,1,1,2,4001,281,877,port1,10_08_20_11_23_30,SP,Gloves,Limonene,25.17,43.73,90.85333333,"['port2', 'port3', 'port3', 'port1']","[281, 40, 837, 4001]"
Bruce,Mallory,1,1,Training,Training1,4000,port2,port2,16.95825028,0,1,0,0,4001,0,port2,10_08_20_11_24_09,Cotton,SP,Cotton,25.17,43.73,90.85333333,['port2'],[4001]
Bruce,Mallory,1,1,Training,Training1,4000,port2,port2,4.84160161,0,2,1,0,4699,238,port2,10_08_20_11_24_42,Gloves,SP,Gloves,25.17,43.73,90.85333333,"['port2', 'port3', 'port2']","[698, 238, 4001]"
Bruce,Mallory,1,1,Training,Training1,4000,port1,port1,12.01486397,1,2,0,4001,633,0,port1,10_08_20_11_25_21,SP,Limonene,Limonene,25.17,43.73,90.85333333,"['port2', 'port2', 'port1']","[273, 360, 4001]"
Bruce,Mallory,1,1,Training,Training1,4000,port1,port1,2.9666996,3,1,0,5153,428,0,port1,10_08_20_11_25_56,SP,Blank,Cotton,25.17,43.73,90.85333333,"['port2', 'port1', 'port1', 'port1']","[428, 581, 571, 4001]"
Bruce,Mallory,1,1,Training,Training1,4000,port2,port2,7.060888529,0,2,0,0,4762,0,port2,10_08_20_11_26_30,Gloves,SP,Cotton,25.17,43.73,90.85333333,"['port2', 'port2']","[761, 4001]"
Bruce,Mallory,1,1,Training,Training1,4000,port3,port3,4.931776524,0,1,1,0,242,4001,port3,10_08_20_11_27_01,Limonene,Limonene,SP,25.17,43.73,90.85333333,"['port2', 'port3']","[242, 4001]"
Bruce,Mallory,1,1,Training,Training1,4000,port3,port3,4.095989227,0,1,1,0,295,4001,port3,10_08_20_11_27_31,MO,MO,SP,25.17,43.73,90.85333333,"['port2', 'port3']","[295, 4001]"
Bruce,Mallory,1,1,Training,Training1,4000,port3,port3,3.489160776,1,1,1,119,218,4001,port3,10_08_20_11_28_03,Cotton,Blank,SP,25.17,43.73,90.85333333,"['port1', 'port2', 'port3']","[119, 218, 4001]"
Bruce,Mallory,1,1,Training,Training1,4000,port2,port2,2.624329329,2,2,1,3471,4256,286,port2,10_08_20_11_28_38,Blank,SP,Limonene,25.17,43.73,90.85333333,"['port3', 'port2', 'port1', 'port1', 'port2']","[286, 255, 71, 3400, 4001]"
